OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,CSI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
396380,GO-20241329246,6/18/2024 4:00:00 AM,6/18/2024 4:00:00 AM,2024,June,18,170,Tuesday   ,20,2024.0,June,18.0,170.0,Tuesday   ,20,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3721579501152,43.6491340882377,-8835668.20615728,5411304.45602154
466446,GO-2026123927,1/17/2026 5:00:00 AM,1/17/2026 5:00:00 AM,2026,January,17,17,Saturday  ,23,2026.0,January,17.0,17.0,Saturday  ,20,D42,Bar / Restaurant,Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,130,Milliken (130),130,Milliken (130),-79.297271408689,43.8259516495797,-8827331.87454589,5438547.18780943
251848,GO-2021341530,2/23/2021 5:00:00 AM,2/23/2021 5:00:00 AM,2021,February,23,54,Tuesday   ,6,2021.0,February,23.0,54.0,Tuesday   ,1,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),-79.394568554867,43.7030757211856,-8838162.94329425,5419606.85830801
464105,GO-20252689722,12/27/2025 5:00:00 AM,12/26/2025 5:00:00 AM,2025,December,27,361,Saturday  ,16,2025.0,December,26.0,360.0,Friday    ,7,D53,Ttc Subway Station,Transit,1430,100,Assault,Assault,095,Annex (95),095,Annex (95),-79.3930407461138,43.6707559114553,-8837992.86837433,5414631.47309532
85725,GO-20161393771,8/8/2016 4:00:00 AM,8/8/2016 4:00:00 AM,2016,August,8,221,Monday    ,8,2016.0,August,8.0,221.0,Monday    ,5,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3809129463861,43.6563247954285,-8836642.80785389,5412410.7794823
343914,GO-20231227383,5/31/2023 4:00:00 AM,5/31/2023 4:00:00 AM,2023,May,31,151,Wednesday ,0,2023.0,May,31.0,151.0,Wednesday ,0,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,Break and Enter,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.4039819320046,43.6471940876252,-8839210.83562853,5411006.00075517
59116,GO-20151825965,10/23/2015 4:00:00 AM,10/19/2015 4:00:00 AM,2015,October,23,296,Friday    ,18,2015.0,October,19.0,292.0,Monday    ,20,D12,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,113,Weston (113),113,Weston (113),-79.5113086556678,43.6983790655589,-8851158.39189272,5418883.67802314
358506,GO-20232124776,9/11/2023 4:00:00 AM,9/8/2023 4:00:00 AM,2023,September,11,254,Monday    ,12,2023.0,September,8.0,251.0,Friday    ,8,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.584959664527,43.6783367669192,-8859357.18471101,5415798.24672795
259998,GO-2021950685,5/26/2021 4:00:00 AM,5/23/2021 4:00:00 AM,2021,May,26,146,Wednesday ,8,2021.0,May,23.0,143.0,Sunday    ,12,D14,Homeless Shelter / Mission,Other,2130,210,Theft Over,Theft Over,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.402813933035,43.651925592392,-8839080.8145746,5411733.92606604
272631,GO-20211839425,9/25/2021 4:00:00 AM,9/25/2021 4:00:00 AM,2021,September,25,268,Saturday  ,3,2021.0,September,25.0,268.0,Saturday  ,3,D31,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,220,B&E W'Intent,Break and Enter,021,Humber Summit (21),021,Humber Summit (21),-79.569704228594,43.7587629134429,-8857658.95734366,5428185.76810319
